"building","day","device","floor","level","mac","name","room","time"
"block-9","Friday","","first","-62","24:c9:a1:07:29:58","IIITV-Staff","9106","12:12:14"
"block-9","Friday","","first","-82","24:c9:a1:49:a7:28","IIITV2","9106","12:12:14"
"block-9","Friday","","first","-71","f0:3e:90:4c:24:78","IIITV-Staff","9106","12:12:14"
"block-9","Friday","","first","-75","f0:3e:90:0c:24:78","IIITV1","9106","12:12:14"
"block-9","Friday","","first","-74","f0:3e:90:8c:24:78","IIITV2","9106","12:12:14"
"block-9","Friday","","first","-72","24:c9:a1:49:9f:08","IIITV2","9106","12:12:14"
"block-9","Friday","","first","-71","24:c9:a1:09:9f:08","IIITV-Staff","9106","12:12:14"
"block-9","Friday","","first","-64","58:b6:33:66:56:c8","IIITV-Staff","9106","12:12:14"
"block-9","Friday","","first","-64","58:b6:33:26:56:c8","IIITV1","9106","12:12:14"
"block-9","Friday","","first","-70","58:b6:33:66:51:48","IIITV-Staff","9106","12:12:14"
"block-9","Friday","","first","-79","58:b6:33:26:51:48","IIITV1","9106","12:12:14"
"block-9","Friday","","first","-66","24:c9:a1:07:2f:38","IIITV-Staff","9106","12:12:14"
"block-9","Friday","","first","-29","6c:aa:b3:08:ad:b8","IIITV-Staff","9106","12:12:14"
"block-9","Friday","","first","-28","6c:aa:b3:48:ad:b8","IIITV2","9106","12:12:14"
"block-9","Friday","","first","-39","58:b6:33:66:53:28","IIITV-Staff","9106","12:12:14"
"block-9","Friday","","first","-39","58:b6:33:26:53:28","IIITV1","9106","12:12:14"
"block-9","Friday","","first","-78","2c:c5:d3:63:c2:38","IIITV-Staff","9106","12:12:14"
"block-9","Friday","","first","-81","2c:c5:d3:23:c2:38","IIITV1","9106","12:12:14"
"block-9","Friday","","first","-65","24:c9:a1:47:2f:38","IIITV2","9107","12:12:47"
"block-9","Friday","","first","-47","24:c9:a1:49:a1:58","IIITV2","9107","12:12:47"
"block-9","Friday","","first","-47","24:c9:a1:09:a1:58","IIITV-Staff","9107","12:12:47"
"block-9","Friday","","first","-57","f0:3e:90:0c:29:d8","IIITV1","9107","12:12:47"
"block-9","Friday","","first","-57","f0:3e:90:4c:29:d8","IIITV-Staff","9107","12:12:47"
"block-9","Friday","","first","-56","f0:3e:90:8c:29:d8","IIITV2","9107","12:12:47"
"block-9","Friday","","first","-39","24:c9:a1:09:9a:c8","IIITV-Staff","9107","12:12:47"
"block-9","Friday","","first","-75","24:c9:a1:49:9a:c8","IIITV2","9107","12:12:47"
"block-9","Friday","","first","-63","24:c9:a1:47:29:58","IIITV2","9107","12:12:14"
"block-9","Friday","","first","-62","24:c9:a1:07:29:58","IIITV-Staff","9107","12:12:14"
"block-9","Friday","","first","-82","24:c9:a1:49:a7:28","IIITV2","9107","12:12:14"
"block-9","Friday","","first","-71","f0:3e:90:4c:24:78","IIITV-Staff","9107","12:12:14"
"block-9","Friday","","first","-75","f0:3e:90:0c:24:78","IIITV1","9107","12:12:47"
"block-9","Friday","","first","-74","f0:3e:90:8c:24:78","IIITV2","9107","12:12:47"
"block-9","Friday","","first","-72","24:c9:a1:49:9f:08","IIITV2","9107","12:12:47"
"block-9","Friday","","first","-71","24:c9:a1:09:9f:08","IIITV-Staff","9107","12:12:47"
